"listing","date","last_offered_price","occupancy","revenue","blocked","creation_date"
ABC102,2021-12-24 00:00:00,0.0,1.0,0.0,1,2021-12-24 00:00:00
ABC102,2022-01-04 00:00:00,0.0,1.0,0.0,1,2021-12-28 00:00:00
ABC201,2021-10-13 00:00:00,0.0,1.0,0.0,1,2021-10-13 00:00:00
ABC201,2021-10-14 00:00:00,0.0,1.0,0.0,1,2021-10-13 00:00:00
ABC201,2022-01-02 00:00:00,0.0,1.0,0.0,1,2021-12-28 00:00:00
ABC201,2022-01-12 00:00:00,0.0,1.0,0.0,1,2021-12-28 00:00:00
ABC202,2022-02-18 00:00:00,0.0,1.0,0.0,1,2022-02-18 00:00:00
ABC202,2022-02-19 00:00:00,0.0,1.0,0.0,1,2022-02-18 00:00:00
ABC202,2022-02-20 00:00:00,0.0,1.0,0.0,1,2022-02-18 00:00:00
ABC202,2022-02-21 00:00:00,0.0,1.0,0.0,1,2022-02-18 00:00:00
ABC204,2021-12-24 00:00:00,0.0,1.0,0.0,1,2021-12-24 00:00:00
ABC204,2022-01-02 00:00:00,0.0,1.0,0.0,1,2021-12-28 00:00:00
ABC204,2022-01-07 00:00:00,0.0,1.0,0.0,1,2021-12-28 00:00:00
ADJ205,2019-11-27 00:00:00,0.0,1.0,0.0,1,2019-11-27 00:00:00
ADJ205,2019-12-07 00:00:00,0.0,1.0,0.0,1,2019-11-21 00:00:00
ADJ205,2019-12-08 00:00:00,0.0,1.0,0.0,1,2019-11-21 00:00:00
ADJ205,2019-12-09 00:00:00,0.0,1.0,0.0,1,2019-11-21 00:00:00
ADJ205,2019-12-10 00:00:00,0.0,1.0,0.0,1,2019-11-21 00:00:00
ADJ205,2019-12-11 00:00:00,0.0,1.0,0.0,1,2019-11-21 00:00:00
ADJ205,2019-12-12 00:00:00,0.0,1.0,0.0,1,2019-11-21 00:00:00
ADJ205,2019-12-13 00:00:00,0.0,1.0,0.0,1,2019-11-21 00:00:00
ADJ205,2019-12-14 00:00:00,0.0,1.0,0.0,1,2019-12-03 00:00:00
ADJ205,2019-12-26 00:00:00,0.0,1.0,0.0,1,2019-11-21 00:00:00
ADJ205,2019-12-27 00:00:00,0.0,1.0,0.0,1,2019-11-21 00:00:00
ADJ205,2019-12-28 00:00:00,0.0,1.0,0.0,1,2019-11-21 00:00:00
ADJ205,2019-12-29 00:00:00,0.0,1.0,0.0,1,2019-11-21 00:00:00
ADJ205,2019-12-30 00:00:00,0.0,1.0,0.0,1,2019-11-21 00:00:00
ADJ205,2019-12-31 00:00:00,0.0,1.0,0.0,1,2019-11-21 00:00:00
ADJ205,2020-01-01 00:00:00,0.0,1.0,0.0,1,2019-11-21 00:00:00
ADJ205,2020-01-02 00:00:00,0.0,1.0,0.0,1,2019-11-21 00:00:00
ADJ205,2020-01-03 00:00:00,0.0,1.0,0.0,1,2019-11-21 00:00:00
ADJ205,2020-01-04 00:00:00,0.0,1.0,0.0,1,2019-11-21 00:00:00
ADJ205,2020-01-05 00:00:00,0.0,1.0,0.0,1,2019-11-21 00:00:00
ADJ205,2020-01-06 00:00:00,0.0,1.0,0.0,1,2019-11-21 00:00:00
ADJ205,2020-01-07 00:00:00,0.0,1.0,0.0,1,2019-11-21 00:00:00
ADJ205,2020-01-08 00:00:00,0.0,1.0,0.0,1,2019-11-21 00:00:00
ADJ205,2020-01-09 00:00:00,0.0,1.0,0.0,1,2019-11-21 00:00:00
ADJ205,2020-01-10 00:00:00,0.0,1.0,0.0,1,2019-11-21 00:00:00
ADJ205,2020-01-11 00:00:00,0.0,1.0,0.0,1,2019-11-21 00:00:00
ADJ205,2020-01-12 00:00:00,0.0,1.0,0.0,1,2019-11-21 00:00:00
ADJ205,2020-01-13 00:00:00,0.0,1.0,0.0,1,2019-11-21 00:00:00
ADJ205,2020-01-14 00:00:00,0.0,1.0,0.0,1,2019-11-21 00:00:00
ADJ205,2020-01-15 00:00:00,0.0,1.0,0.0,1,2019-11-21 00:00:00
ADJ205,2020-01-16 00:00:00,0.0,1.0,0.0,1,2020-01-16 00:00:00
ADJ205,2020-01-17 00:00:00,0.0,1.0,0.0,1,2020-01-16 00:00:00
ADJ205,2020-01-18 00:00:00,0.0,1.0,0.0,1,2020-01-16 00:00:00
ADJ205,2020-01-19 00:00:00,0.0,1.0,0.0,1,2020-01-16 00:00:00
ADJ205,2020-01-20 00:00:00,0.0,1.0,0.0,1,2020-01-16 00:00:00
