Código,Localização,Categoria,Comissão,Endereço,Cama Casal,Cama Solteiro,Cama Queen,Cama King,Sofá Cama Solteiro,Travesseiros,Banheiros,Taxa de Limpeza,Capacidade,Hotel,Data Inicial do contrato,Status,Tipo
ADJ205,JUR,SIM2Q,"0,20","Av dos Búzios, 470 Apto 205 Jurerê Florianópolis",01,02,00,00,0,04,"2,00","295,00",04,Não,25/10/2019,Ativo,Apartamento
AYA201,JUR,JR3Q,"0,20","R Prof Manoel do Lago Almeida, 140 Apto 201 Jurerê Florianópolis",03,00,00,00,0,06,"2,00","314,00",06,Não,25/10/2019,Ativo,Apartamento
BEL102,JUR,SUP2Q,"0,20","Rodovia Maurício Sirotsky Sobrinho, 5145 apto 102 Jurerê Florianópolis",00,02,01,00,0,04,"2,00","252,00",04,Não,01/12/2019,Inativo,Apartamento
CCA201,CAN,SUP3Q,"0,20","Rua Prof Teodosio Mauricio Wanderley, 120 Apto 201 Canasvieiras Florianópolis",01,04,00,00,0,06,"2,00","354,00",06,Não,25/11/2019,Ativo,Apartamento
CDC301,JUR,TOP3Q,"0,20","Av. Dourados, 910, Ap 301, Jurerê",03,00,00,00,0,06,"2,00","314,00",06,Não,01/12/2019,Inativo,Apartamento
CDS106,JUR,SUP2Q,"0,20",Av dos Salmões 844 Apto 106 Jurerê Florianópolis,01,02,00,00,0,04,"2,00","253,00",04,Não,05/02/2020,Ativo,Apartamento
CDS208,JUR,JR2Q,"0,20",Av dos Salmões 844 Apto 208 Jurerê Florianópolis,01,02,00,00,1,05,"2,00","291,00",05,Não,01/09/2019,Inativo,Apartamento
CDS209,JUR,SUP2Q,"0,20",Av dos Salmões 844 Apto 209 Jurerê Florianópolis,01,02,00,00,0,04,"1,00","255,00",04,Não,01/11/2019,Inativo,Apartamento
CHR101,JUR,SUP2Q,"0,20","Rua dos Chernes, 525 Apto 101 Jurerê Florianópolis",01,02,00,00,1,05,"2,00","281,00",05,Não,01/10/2019,Ativo,Apartamento
CPJ102,JUR,TOP3Q,"0,20","Condomínio Portal do Jurerê, Apto 102 Av. das Raias 961 Jurerê",02,02,00,00,0,06,"3,00","0,00",06,Não,26/12/2019,Inativo,Apartamento
